id,author,title,doi,year,abstract,url
14,"Li, H. and Szum, C. and Lisauskas, S. and Bekhit, A. and Nesler, C. and Snyder, S.C.",Targeting building energy efficiency opportunities: An Open-source Analytical &amp; Benchmarking Tool,"",2019,"",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071939979&partnerID=40&md5=c15331ebd8c38a5fb0976030571eb521
15,"",ACM International Conference Proceeding Series,"",2018,"",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056723451&partnerID=40&md5=1700489bee3e744584c3175cc2155578
16,"",Proceedings - International Conference on Software Engineering,"",2018,"",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051651224&partnerID=40&md5=fecc8db685f619c739d1ff6e68ce0b9f
17,"Pedersoli, F. and Tzanetakis, G. and Tagliasacchi, A.",Espresso: Efficient forward propagation for binary deep neural networks,"",2018,"",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083951336&partnerID=40&md5=a4ab7aa506219d7d3fe8074c6e663bea
19,"",ACM International Conference Proceeding Series,"",2017,"",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037856430&partnerID=40&md5=2fbf64fa2e1b5a4872ea3d15135d6791
20,"Wilkerson, S.A. and Forsyth, J. and Korpela, C.M.",Project based learning using the robotic Operating System (ROS) for undergraduate research applications,"",2017,"",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030551439&partnerID=40&md5=75b64d5b362084bb54a580901aa00d00
21,"","Proceedings - Asia-Pacific Software Engineering Conference, APSEC","",2017,"",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017674294&partnerID=40&md5=42476fcdd9eaaf582c5c6ee4ddd1f6f2
22,"Lemaître, G. and Nogueira, F. and Aridas, C.K.",Imbalanced-learn: A python toolbox to tackle the curse of imbalanced datasets in machine learning,"",2017,"",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016274615&partnerID=40&md5=dd32549cc0b9c2cd01c342fff0468b7b
23,"Defferrard, M. and Benzi, K. and Vandergheynst, P. and Bresson, X.",FMA: A dataset for music analysis,"",2017,"",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068955365&partnerID=40&md5=52ec35cfef56f2b0a0851dd8d52c1502
24,"","Proceedings - 3rd International Workshop on CrowdSourcing in Software Engineering, CSI-SE 2016","",2016,"",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973501927&partnerID=40&md5=17967783afeb5df1bbc4db98eb6d74eb
25,"Wang, S.-M. and Ku, L.-W.",ANTUSD: A large Chinese sentiment dictionary,"",2016,"",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027864979&partnerID=40&md5=d301422d69fcda6729833e0780272e0a
26,"Pajkossy, K. and Zseder, A.",The hunvec framework for NN-CRF-based sequential tagging,"",2016,"",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037172480&partnerID=40&md5=b9f9a014d86dff83ec8bc4c270d56f1c
27,"Blfgeh, A. and Warrender, J.D. and Hilkens, C.M.U. and Lord, P.",A document-centric approach for developing the tolAPC Ontology,"",2016,"",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992323947&partnerID=40&md5=ed03bed2969be7406895b8f8958805b0
28,"","11th Working Conference on Mining Software Repositories, MSR 2014 - Proceedings","",2014,"",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938782711&partnerID=40&md5=6b7705afa8754a2676b2342cb2ce9a4d
